bin_left,bin_right,frequency
-0.11928429731311974,-0.10726828299873077,1
-0.10726828299873077,-0.0952522686843418,0
-0.0952522686843418,-0.08323625436995286,0
-0.08323625436995286,-0.07122024005556389,0
-0.07122024005556389,-0.059204225741174926,1
-0.059204225741174926,-0.047188211426785975,1
-0.047188211426785975,-0.03517219711239701,2
-0.03517219711239701,-0.023156182798008046,2
-0.023156182798008046,-0.011140168483619081,8
-0.011140168483619081,0.0008758458307698835,4
0.0008758458307698835,0.012891860145158834,5
0.012891860145158834,0.024907874459547785,0
0.024907874459547785,0.036923888773936764,0
0.036923888773936764,0.048939903088325715,3
0.048939903088325715,0.06095591740271469,0
0.06095591740271469,0.07297193171710364,1
0.07297193171710364,0.0849879460314926,0
0.0849879460314926,0.09700396034588157,0
0.09700396034588157,0.10901997466027052,0
0.10901997466027052,0.1210359889746595,1
