feature,importance
rion​,0.3827059888138703
Xdonor,0.20381336858636118
C,0.14685137041455934
IP,0.11763802004667145
Xmetal,0.06232501067708638
nd,0.047795081817816144
nf,0.025740337653066755
D ,0.013130821990568538
