feature,importance,cumulative_importance
A,0.3237174769801987,0.3237174769801987
Xdonor,0.2762498902650789,0.5999673672452777
IP,0.1378077521920289,0.7377751194373066
nf,0.10807019126265621,0.8458453106999628
Xmetal,0.07753425719953323,0.923379567899496
rion​,0.04939047069341967,0.9727700385929157
D ,0.017749190765489028,0.9905192293584046
nd,0.00682602917334084,0.9973452585317455
CN,0.002654741468254715,1.0000000000000002
