material,PI ,predicted_score
Tb-acac,2.599144,2.572706875000004
Dy-acac,2.573673,2.5593564549999983
Eu-acac,2.56494,2.535438674999996
Ho-acac,2.530767,2.533624240000006
Er-acac,2.555821,2.5182689699999967
La-acac,2.556,2.4990901699999952
Yb-acac,2.556934,2.4944752149999943
Lu-acac,2.580205,2.4878134349999943
Ce-acac,2.534345,2.4292455199999976
Nb-acac,2.532645,2.3301848137500007
